EID,l1tex__lsuin_requests.sum,l1tex__texin_requests.sum,sm__inst_executed_pipe_alu.sum,sm__inst_executed_pipe_fma.sum,sm__inst_executed_pipe_lsu.sum,sm__inst_executed_pipe_tex.sum,sm__inst_issued.sum,sm__thread_inst_executed_pipe_alu_pred_on.sum,sm__thread_inst_executed_pipe_fma_pred_on.sum,sm__threads_launched_shader_ps.sum,sm__threads_launched_shader_ps_killmask_off.sum,sm__threads_launched_shader_ps_killmask_on.sum,sm__threads_launched_shader_vs.sum,sm__warps_launched.sum,gpu__time_duration.avg,l1tex__average_t_sector_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_lookup_hit.avg.ratio,l1tex__average_t_sector_pipe_lsu_mem_global_op_ld_lookup_hit.avg.ratio,l1tex__t_sector_hit_rate.avg.ratio,lts__average_t_sector_srcnode_gpc_lookup_hit.avg.ratio,lts__average_t_sector_srcnode_gpc_op_read_lookup_hit.avg.ratio,lts__average_t_sector_srcunit_tex_op_read.avg.ratio,lts__average_t_sector_srcunit_tex_op_read_lookup_hit.avg.ratio,lts__t_sector_hit_rate.avg.ratio
1307,3.00,262844.00,600251.00,953994.00,3.00,32896.00,2070906.00,1.70238E+07,3.04540E+07,1050624.00,1048576.00,2048.00,4.00,32897.00,23370.37037,0.75521,0.00,0.00,0.75521,0.90338,0.4943,0.57979,0.48681,0.90604
1317,3.00,262798.00,600251.00,953994.00,3.00,32896.00,2070593.00,1.70243E+07,3.04688E+07,1050624.00,1048576.00,2048.00,4.00,32897.00,22490.74074,0.75519,0.00,0.00,0.75519,0.87109,0.48139,0.60014,0.47461,0.8736
1325,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15453.7037,0.00,0.00,0.00,0.00,0.02184,0.02184,0.00,0.00,0.8926
1327,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15574.07407,0.00,0.00,0.00,0.00,0.02194,0.02194,0.00,0.00,0.89336
1329,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15361.11111,0.00,0.00,0.00,0.00,0.02195,0.02195,0.00,0.00,0.89329
1331,0.00,552.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15240.74074,0.00,0.00,0.00,0.00,0.02202,0.02202,0.00,0.00,0.89908
1343,1487.00,390.00,13952.00,88166.00,1487.00,0.00,121229.00,437920.00,2681184.00,0.00,0.00,0.00,20971.00,820.00,6851.85185,0.3484,0.3484,0.00,0.3484,0.7016,0.43491,0.00,0.00,0.71261
1347,1684.00,162.00,16840.00,106092.00,1684.00,0.00,134070.00,536352.00,3380864.00,0.00,0.00,0.00,26815.00,842.00,6611.11111,0.00,0.00,0.00,0.00,0.68565,0.49012,0.00,0.00,0.69625
1351,818.00,142.00,8180.00,51534.00,818.00,0.00,67985.00,256448.00,1615264.00,0.00,0.00,0.00,12824.00,409.00,5546.2963,0.00,0.00,0.00,0.00,0.82231,0.5345,0.00,0.00,0.83544
1355,500.00,188.00,5000.00,31500.00,500.00,0.00,42586.00,157984.00,996000.00,0.00,0.00,0.00,7900.00,250.00,6601.85185,0.00,0.00,0.00,0.00,0.69468,0.4392,0.00,0.00,0.71999
1359,1250.00,142.00,12500.00,78750.00,1250.00,0.00,100855.00,393504.00,2480416.00,0.00,0.00,0.00,19676.00,625.00,10407.40741,0.00,0.00,0.00,0.00,0.91781,0.43423,0.00,0.00,0.92146
1363,1276.00,142.00,12760.00,80388.00,1276.00,0.00,102303.00,378752.00,2386880.00,0.00,0.00,0.00,18927.00,638.00,6157.40741,0.00,0.00,0.00,0.00,0.76942,0.4561,0.00,0.00,0.77827
1367,1080.00,142.00,10800.00,68040.00,1080.00,0.00,87574.00,329984.00,2079168.00,0.00,0.00,0.00,16509.00,540.00,6222.22222,0.00,0.00,0.00,0.00,0.77916,0.45381,0.00,0.00,0.78845
1371,1768.00,142.00,17680.00,111384.00,1768.00,0.00,140273.00,560512.00,3531488.00,0.00,0.00,0.00,28028.00,884.00,35425.92593,0.00,0.00,0.00,0.00,0.97482,0.37195,0.00,0.00,0.97581
1375,966.00,142.00,9660.00,60858.00,966.00,0.00,80479.00,287392.00,1808320.00,0.00,0.00,0.00,14361.00,483.00,6129.62963,0.00,0.00,0.00,0.00,0.7639,0.45365,0.00,0.00,0.77533
1379,84.00,142.00,840.00,5292.00,84.00,0.00,7308.00,26048.00,164352.00,0.00,0.00,0.00,1304.00,42.00,6259.25926,0.00,0.00,0.00,0.00,0.71217,0.58066,0.00,0.00,0.80432
1383,966.00,142.00,9660.00,60858.00,966.00,0.00,79306.00,287008.00,1811488.00,0.00,0.00,0.00,14361.00,483.00,5925.92593,0.00,0.00,0.00,0.00,0.76779,0.46232,0.00,0.00,0.77888
1387,1080.00,142.00,10800.00,68040.00,1080.00,0.00,88042.00,330368.00,2086304.00,0.00,0.00,0.00,16509.00,540.00,6694.44444,0.00,0.00,0.00,0.00,0.75282,0.4379,0.00,0.00,0.76206
1391,720.00,142.00,7200.00,45360.00,720.00,0.00,60255.00,219456.00,1382464.00,0.00,0.00,0.00,10968.00,360.00,5925.92593,0.00,0.00,0.00,0.00,0.75338,0.44761,0.00,0.00,0.76718
1395,80.00,142.00,800.00,5040.00,80.00,0.00,6960.00,25440.00,159424.00,0.00,0.00,0.00,1265.00,40.00,8935.18519,0.00,0.00,0.00,0.00,0.63912,0.31021,0.00,0.00,0.65507
1399,2636.00,142.00,26360.00,166068.00,2636.00,0.00,206688.00,826432.00,5206016.00,0.00,0.00,0.00,41323.00,1318.00,7314.81481,0.00,0.00,0.00,0.00,0.74621,0.49434,0.00,0.00,0.75133
1403,832.00,142.00,8320.00,52416.00,832.00,0.00,68655.00,262336.00,1652864.00,0.00,0.00,0.00,13120.00,416.00,6277.77778,0.00,0.00,0.00,0.00,0.61422,0.39079,0.00,0.00,0.62951
1407,1216.00,142.00,12160.00,76608.00,1216.00,0.00,98156.00,387680.00,2443616.00,0.00,0.00,0.00,19385.00,608.00,6194.44444,0.00,0.00,0.00,0.00,0.73701,0.45718,0.00,0.00,0.74718
